"","inv_cogn1","inv_cogn2","inv_cognNews","inv_beh1","inv_beh_p1","inv_beh_p2","inv_beh_p3","inv_beh_p4","inv_beh_p5","inv_beh2","discourse1","discourse2","attitude","mean_involvement"
"5134",2,2,3,1,0,0,0,0,0,0,1,0,5,2.33333333333333
"5135",2,1,3,1,0,0,0,0,0,0,1,0,5,2
"5136",1,1,3,1,0,0,0,0,0,0,1,0,5,1.66666666666667
"5137",3,3,3,1,0,0,0,0,0,0,3,0,2,3
"5138",2,2,3,1,0,0,0,0,0,0,3,0,7,2.33333333333333
"5139",2,1,3,0,0,0,0,0,0,0,3,0,5,2
"5140",NA,NA,NA,0,0,0,0,0,0,0,NA,0,6,NA
"5141",2,2,1,NA,0,0,0,0,0,0,1,0,5,1.66666666666667
"5142",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5144",2,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.33333333333333
"5145",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.33333333333333
"5146",3,2,3,1,0,0,0,0,0,0,2,0,6,2.66666666666667
"5147",2,1,3,1,0,0,0,0,0,0,1,0,NA,2
"5148",3,3,3,1,0,0,0,0,0,0,3,0,6,3
"5149",2,3,3,1,0,0,0,0,1,2,3,1,1,2.66666666666667
"5150",2,1,3,NA,0,0,0,0,0,0,2,0,6,2
"5151",2,2,3,1,0,0,0,0,0,1,2,1,5,2.33333333333333
"5152",2,1,3,0,0,0,0,0,0,0,2,0,3,2
"5153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5154",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5155",2,1,3,0,0,0,0,0,0,0,3,0,NA,2
"5156",3,3,3,1,0,0,0,0,0,0,2,0,0,3
"5157",3,2,3,0,NA,NA,NA,NA,NA,NA,2,NA,NA,2.66666666666667
