"","CaseID","time","Vacc_Aff_2","Vacc_Aff_4","Vacc_Aff_7","Vacc_Cog_1","Vacc_Cog_2","Vacc_Cog_3","Vacc_Cog_4","Vacc_Cog_5","Vacc_Beh_2","Vacc_Beh_3","Vacc_Oth_5","Vacc_Oth_6","Vacc_Oth_7","Vacc_Oth_8","mean_attitude","mean_involvement"
"1",102,1,5,5,4,5,7,5,4,7,4,6,4,4,7,7,5.09090909090909,6
"2",103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",104,1,5,7,5,7,7,7,1,3,4,2,7,1,5,5,5,3.66666666666667
"4",105,1,6,6,5,6,7,6,5,5,6,4,7,5,7,6,5.72727272727273,6
"5",106,1,4,2,1,3,5,3,1,4,1,1,4,1,1,1,2.63636363636364,1
"6",108,1,1,1,1,4,4,4,7,4,1,1,4,1,7,4,2.90909090909091,4
"7",109,1,7,7,7,6,7,6,6,5,7,7,7,6,7,7,6.54545454545455,6.66666666666667
"8",110,1,5,4,4,5,7,6,5,3,6,3,4,4,6,6,4.72727272727273,5.33333333333333
"9",111,1,3,3,1,2,3,3,2,2,1,2,3,2,4,3,2.27272727272727,3
"10",112,1,6,6,4,6,7,6,4,5,7,5,6,4,7,7,5.63636363636364,6
"11",113,1,2,1,1,3,4,3,1,1,1,1,3,2,3,5,1.90909090909091,3.33333333333333
"12",114,1,1,3,1,3,1,3,1,1,1,1,4,1,1,1,1.81818181818182,1
"13",115,1,6,6,2,7,7,5,7,3,6,4,7,4,6,7,5.45454545454545,5.66666666666667
"14",117,1,3,3,2,3,4,3,2,4,4,2,3,4,4,4,3,4
"15",2215,1,7,5,4,4,7,4,1,4,4,6,7,1,7,7,4.81818181818182,5
"16",118,1,5,4,1,6,5,7,6,6,6,5,5,7,6,6,5.09090909090909,6.33333333333333
"17",2216,1,3,2,4,2,4,2,3,2,3,4,3,1,3,4,2.90909090909091,2.66666666666667
"18",120,1,7,6,5,6,7,6,5,3,7,6,7,5,7,7,5.90909090909091,6.33333333333333
"19",121,1,5,3,5,3,7,4,1,6,5,5,6,3,7,5,4.54545454545455,5
