"","CaseID","time","Vacc_Aff_2","Vacc_Aff_4","Vacc_Aff_7","Vacc_Cog_1","Vacc_Cog_2","Vacc_Cog_3","Vacc_Cog_4","Vacc_Cog_5","Vacc_Beh_2","Vacc_Beh_3","Vacc_Oth_5","Vacc_Oth_6","Vacc_Oth_7","Vacc_Oth_8","mean_attitude","mean_involvement"
"1",102,2,7,7,7,7,7,7,7,7,7,7,6,5,7,6,6.90909090909091,6
"2",103,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",2213,2,7,5,3,5,7,5,6,1,5,3,6,5,6,3,4.81818181818182,4.66666666666667
"4",104,2,7,1,5,5,7,7,4,2,6,4,7,1,7,5,5,4.33333333333333
"5",105,2,6,6,6,6,7,6,6,5,7,5,7,5,7,7,6.09090909090909,6.33333333333333
"6",106,2,6,3,1,4,6,4,2,4,1,1,5,1,6,5,3.36363636363636,4
"7",108,2,5,5,1,5,6,6,5,1,1,1,5,3,5,5,3.72727272727273,4.33333333333333
"8",109,2,7,7,6,6,7,6,6,6,7,3,5,6,7,7,6,6.66666666666667
"9",110,2,7,4,3,5,7,5,6,1,7,4,4,2,7,6,4.81818181818182,5
"10",111,2,4,3,1,2,3,3,2,2,1,2,5,1,3,1,2.54545454545455,1.66666666666667
"11",112,2,6,7,4,6,7,7,5,5,7,5,6,5,5,5,5.90909090909091,5
"12",113,2,2,1,1,3,1,2,2,1,1,1,2,2,2,4,1.54545454545455,2.66666666666667
"13",114,2,1,1,1,4,3,4,4,1,1,1,3,1,3,1,2.18181818181818,1.66666666666667
"14",115,2,7,6,4,6,7,6,7,5,7,3,7,5,7,7,5.90909090909091,6.33333333333333
"15",117,2,4,3,2,3,2,3,6,2,2,6,3,4,3,3,3.27272727272727,3.33333333333333
"16",118,2,5,6,6,6,7,5,6,5,6,4,6,3,5,6,5.63636363636364,4.66666666666667
"17",120,2,7,7,6,7,7,7,7,4,6,6,7,6,6,3,6.45454545454545,5
"18",121,2,5,3,4,7,5,7,5,5,7,4,4,2,6,6,5.09090909090909,4.66666666666667
"19",122,2,5,6,6,5,6,6,6,4,6,6,6,4,7,6,5.63636363636364,5.66666666666667
"20",123,2,7,7,6,6,7,6,6,7,7,7,7,4,7,7,6.63636363636364,6
"21",124,2,7,4,5,5,7,5,5,6,7,7,7,4,7,7,5.90909090909091,6
